,name,latitude,longitude,distance,climb,descent,hours,minutes,seconds,difficulty
141,Devil's Racetrack Upper Loop,34.82092,-86.59736,0.408901646,14,18,0,6,16,1
142,Dog Hill,34.04285,-86.03393,1.200000384,135,220,0,17,24,2
143,Dragon Tail,34.70869,-86.42604,0.380871334,71,4,0,4,53,2
144,Dragon's Tail,31.21028,-85.45677,1.600000512,158,158,0,15,42,1
145,Dragon's Tail Advance Trail,31.21028,-85.45677,0.94128818,75,61,0,7,55,3
146,Dragons Tail,34.50531,-85.63698,0.693371434,39,135,0,6,40,2
147,Draw Dropper,32.55257,-85.46968,0.11439397600000001,2,66,0,0,32,3
148,Drift Mine,34.04222,-86.02972,1.1000003520000001,95,198,0,10,5,1
149,Driskell Trail,34.77422,-86.54983,0.835038146,39,33,0,4,41,1
150,DS TT,30.69402,-88.20058,1.7000005440000001,38,35,0,17,36,2
151,Duck River Full Loop,34.18531,-86.67608,18.200005824,2275,2275,2,3,2,2
152,East Plateau Trail,34.59021,-86.51388,0.556060784,31,73,0,5,31,1
153,Eastman Flow,33.64497,-85.8478,0.5162880440000001,4,179,0,3,24,1
154,Eureka Mines Trail,33.44519,-86.86227,0.6484850560000001,227,61,0,6,53,1
155,EZ Roller,34.70571,-86.42809,0.355492538,11,26,0,2,32,2
156,Falls View Trail,32.55066,-85.48114,1.1000003520000001,56,80,0,9,12,2
157,Family Bike Trail,34.743,-86.50828,2.5000008,206,209,0,13,44,1
158,Family Loop,34.04218,-86.02956,0.44299256600000003,42,55,0,4,41,1
159,Family Trail,33.26296,-87.53145,0.444886506,8,9,0,2,31,1
160,Family Trail,34.50494,-85.63617,1.900000608,112,178,0,13,16,1
161,Family Trail,33.32136,-86.76492,0.561742604,29,18,0,4,41,1
162,Fanning Trail,34.67351,-86.53069,2.100000672,748,330,0,28,25,3
163,Fire Pits,33.3119,-86.75561,0.7969699520000001,166,130,0,8,31,2
164,Firetower Trail,34.73214,-86.50398,1.600000512,144,120,0,9,46,1
165,Five Bridges,33.26259,-87.53035,0.5399622940000001,31,31,0,10,34,3
166,Five Oaks Loop Trail,33.29949,-87.69048,2.700000864,367,386,0,21,23,2
167,Flat Rock Connector,34.72725,-86.49667,0.38446982,320,3,0,15,33,3
168,Flo-Rida,32.54637,-85.48681,0.38276527400000004,90,72,0,2,38,2
169,Flying Squirrel,33.19095,-87.00064,0.813257836,165,22,0,7,7,2
170,For Pete's Sake,32.54847,-85.48621,2.700000864,345,337,0,24,33,1
171,Foreplay,33.31718,-86.76677,0.45303044800000003,18,70,0,3,33,2
172,Fossil Bench,34.81744,-86.6242,1.200000384,18,39,0,8,54,2
173,Fox Trail,32.55623,-85.47011,0.7878790400000001,95,24,0,6,24,2
174,Foxtrot,34.69777,-86.65374,0.5914774620000001,60,22,0,4,12,1
175,Freedom Rider,33.69926,-85.79605,0.36344708600000003,29,37,0,2,44,2
176,Front Trail,30.69487,-88.19606,0.723106292,56,55,0,4,56,2
177,Furnace Quarry Trail,33.24721,-87.0671,1.4000004480000001,215,203,0,23,10,3
178,G-Force,34.04155,-86.03982,0.474810758,22,204,0,3,3,2
179,Garrett's Gulch,33.33949,-86.73202,1.200000384,62,103,0,10,38,2
180,Gas Light Trail,34.74259,-86.54756,0.206250066,2,11,0,2,25,3
181,Gazza,33.61979,-85.88632,1.900000608,178,580,0,27,49,3
182,General Cockrells Loop,30.75022,-87.90675,1.1000003520000001,14,11,0,6,37,1
183,General Cockrells Trail,30.74885,-87.90933,0.7373108420000001,82,127,0,6,56,2
184,General Garrad Trail,30.73874,-87.91953,0.382197092,8,4,0,2,37,1
185,General Garrard Trail,30.73994,-87.91546,0.39109861,18,11,0,2,52,1
186,General Liddells Trail,30.74145,-87.92386,0.34791677800000004,48,51,0,4,16,1
187,General Mundy,32.60015,-85.50624,0.932197268,89,89,0,12,40,2
188,Gilliam Loop,34.48985,-85.60855,3.300001056,824,838,0,24,30,1
189,Goat Trail,34.727,-86.50218,2.3000007360000003,115,321,0,28,57,3
190,Goldilocks,33.62281,-85.88274,1.300000416,115,530,0,7,29,2
191,Golf Course Loop,34.39555,-86.20354,3.700001184,313,336,0,31,56,1
192,Grant's Way,34.70769,-86.42977,0.732575992,3,39,0,6,55,2
193,Grasslands,30.69457,-88.19664,1.1000003520000001,262,244,0,5,53,1
194,Green Gravity,33.60871,-85.9167,0.82007602,66,319,0,8,58,1
195,Green Street,30.74761,-87.91616,0.6310608080000001,52,64,0,5,37,1
196,Greene Trail,34.81051,-87.69813,0.35113647600000003,5,95,0,5,9,2
197,Groundhogs Day,32.54576,-85.48969,1.4000004480000001,103,100,0,10,12,2
198,Grubb Run,31.33684,-85.72022,2.400000768,156,203,0,24,19,2
199,Half Pipe Bypass,30.77485,-88.0942,3.100000992,7,3,0,53,12,1
200,Hallets Trail,30.73904,-87.91975,1.1000003520000001,77,63,0,6,26,1
201,HAMR Beginner's Loop,34.74374,-86.50802,0.183901574,3,3,0,3,27,1
202,Hare,33.63284,-85.86319,1.8000005760000002,258,800,0,10,31,1
203,Harper Tent Trail,30.74172,-87.91345,0.376515272,11,15,0,1,58,1
204,Harris,34.8157,-86.60613,1.1000003520000001,196,114,0,14,48,4
205,Hellfire,34.68249,-86.65093,0.6634471820000001,3,295,0,10,15,3
206,Hemp Trail,30.7807,-88.09775,0.671969912,32,53,0,7,34,1
207,Henry Farm,33.78457,-85.76903,3.4000010880000002,182,185,0,58,56,2
208,Henry Farm,33.78401,-85.76537,1.1000003520000001,135,126,0,16,10,2
209,High Gravity,32.54979,-85.47635,1.00000032,87,119,0,10,10,2
210,High Trail,34.74678,-86.53937,1.4000004480000001,150,125,0,18,0,2
211,Highlands Trail,33.70027,-86.70476,0.383144062,61,188,0,2,28,1
212,Holy Highway,33.26238,-87.52743,0.552462298,30,50,0,2,35,2
213,Honeycomb Trail,34.42871,-86.39179,8.300002656,858,841,1,33,34,2
214,Hyde (Upper Jekyll),33.31707,-86.75285,0.90340938,212,50,0,13,24,3
215,Ike Matson Trail,33.44001,-86.88154,2.5000008,561,498,0,32,10,3
216,Illegal Side Loop,33.51544,-86.75498,1.600000512,151,209,0,17,34,2
217,IMBA Trail,33.25558,-87.05835,1.200000384,262,136,0,10,51,2
218,Indian Falls Trail,34.4937,-85.61776,0.5982956460000001,81,91,0,6,52,1
219,Indian Loop,30.78032,-88.10783,3.100000992,49,48,0,22,48,2
220,Indian Loop Connector,30.78164,-88.10622,0.13693186200000002,10,1,0,0,47,2
221,Indian Tree,34.70921,-86.42852,1.300000416,62,60,0,13,21,2
222,Iron Runner Loop,33.24977,-87.05234,3.200001024,465,465,0,18,5,2
223,Iron Works Loop,33.2556,-87.05807,3.300001056,550,650,0,23,2,1
224,Ironlegs Loop,33.71741,-85.69993,5.400001728,672,622,1,16,27,2
225,Ishkooda Connector,33.46416,-86.84577,0.35132587000000004,14,108,0,1,33,1
226,Ishkooda Trail,33.45416,-86.86112,1.200000384,201,176,0,10,22,2
227,Jackson Spring Trail Loop,30.74259,-87.92248,0.5189395600000001,79,84,0,5,11,2
228,Jaque Pate Trail,30.74479,-87.9223,0.15909096,13,9,0,4,35,2
229,JCC Jumpline,33.51544,-86.75498,0.513825922,6,170,0,6,51,2
230,Jeep Hill,34.04218,-86.02956,0.922727568,76,88,0,7,23,1
231,Jeff's Junction,34.70914,-86.43377,0.25719705200000004,20,29,0,2,1,2
232,Jekyll,33.31707,-86.75285,3.00000096,180,302,0,25,14,3
233,Jen Zen,34.71427,-86.43705,0.8668563380000001,8,79,0,6,41,2
234,Jimmy Sims Trail,34.81658,-87.30362,1.200000384,42,40,0,9,18,1
235,John Hunt Park Mountain Bike Course,34.68285,-86.58905,4.300001376,239,236,0,42,5,2
236,Johnsons Mountain,33.31382,-86.76962,1.8000005760000002,257,240,0,17,17,2
237,Jones Branch Loop,34.9074,-87.62066,2.400000768,198,191,0,27,46,2
238,Jones Valley Trail,34.67354,-86.53024,0.7077653780000001,170,164,0,9,56,2
239,Kick Six,32.5541,-85.47576,1.4000004480000001,128,167,0,12,15,2
240,Kieth's Trail,34.75051,-86.50317,1.200000384,52,145,0,11,48,3
241,King's Chapel,34.38466,-86.20632,0.716098714,274,211,0,7,58,2
242,Kiowa,34.67854,-86.63993,0.303598582,27,30,0,2,30,1
243,Knotty Pine Trail,34.50562,-85.63979,1.1000003520000001,83,64,0,13,3,2
244,L&N Trail,33.447874,-86.86078,0.274431906,29,22,0,2,2,1
245,Lagoon,33.26409,-87.53221,0.978598798,25,26,0,8,3,1
246,Lagoon XC,32.4011,-86.22605,1.200000384,88,96,0,6,46,1
247,Lagoon XC Bypass,32.41391,-86.22704,0.148295502,23,13,0,0,54,1
248,Lake Crossing,30.25397,-87.65482,0.7418562980000001,3,3,0,4,27,0
249,Lake Trail,33.32274,-86.76354,2.100000672,178,177,0,16,9,1
250,Lakeshore Drive,32.62836,-86.24946,0.907954836,186,90,0,9,59,2
251,Lakeside Connector,32.55066,-85.48114,0.369697088,7,14,0,2,41,1
252,Lakeside Trail,33.29689,-87.67746,1.8000005760000002,413,412,0,14,31,1
253,Lawson Branch Loop,34.91375,-87.61669,1.600000512,176,176,0,23,24,2
254,LBC Bypass,33.26233,-87.53057,0.152840958,7,7,0,1,2,1
255,Leftwich,34.04265,-86.0278,0.37348496800000003,68,39,0,3,42,1
256,Lightning,33.34158,-86.72382,0.730682052,52,251,0,8,25,3
257,Lightning Loop Trail,33.31223,-87.67909,0.40511376600000004,64,83,0,4,7,2
258,Little Zipper,32.63065,-86.25075,0.16287884,2,63,0,1,40,2
259,Logan Point Trail,34.75191,-86.51046,1.300000416,201,110,0,13,45,2
260,Lollipop,34.81127,-87.69701,0.6835229460000001,65,134,0,7,27,1
261,Loop 1,34.1956,-86.8616,0.44299256600000003,72,63,0,9,40,2
262,Loop 2,34.19568,-86.86384,0.62689414,56,119,0,4,58,2
263,Loop 3,34.19267,-86.86474,0.814015412,91,96,0,9,20,2
264,Lost Lake Loop,33.19652,-86.99401,0.8494320900000001,74,57,0,11,15,1
265,Low Peak Trail,34.80525,-86.60112,0.3503789,27,13,0,4,55,2
266,Lower Psycho,33.26721,-87.53327,0.426894076,26,10,0,2,35,2
267,Lower Spring,33.49147,-85.80788,0.6015153440000001,135,178,0,7,38,2
268,Lower Tucker,34.71424,-86.43343,0.50946986,46,67,0,6,22,2
269,Lowry Trail,34.65619,-86.51759,0.25037886800000003,147,21,0,4,10,3
270,LP Flow Trail,32.41675,-86.22801,0.360984964,2,12,0,3,36,1
271,Luther's Pass,34.81235,-87.32806,2.8000008960000002,205,201,0,22,29,1
272,Madkin Loop East,34.66075,-86.63618,1.4000004480000001,122,77,0,13,39,2
273,Madkin Loop West,34.66075,-86.63618,1.7000005440000001,115,71,0,14,47,1
274,Main Line,32.62441,-86.24069,0.49905319000000004,14,13,0,3,41,1
275,Main Trunk #63,33.19927,-86.19363,4.200001344,507,371,0,38,44,2
276,Mainline,31.33432,-85.71593,1.200000384,190,221,0,11,7,2
277,Mama Bear,33.6088,-85.90997,1.50000048,349,347,0,13,7,1
278,Mama's Milkshake,32.55073,-85.48922,0.329356166,89,89,0,2,13,3
279,Mars,33.26524,-87.53573,1.300000416,60,53,0,10,9,2
280,Marschall Trail,30.74723,-87.91776,0.259659174,6,8,0,1,25,2
281,McDuffie Fitness Trail,33.51138,-86.75562,4.200001344,239,240,0,39,3,2
282,McKay Hollow,34.74147,-86.51801,2.3000007360000003,591,580,1,26,0,4
283,Mercury,34.65897,-86.63429,0.198295518,130,4,0,4,1,2
284,Middle Mountain Loop,33.63534,-86.86911,0.9096593820000001,72,73,0,14,13,2
285,Mike Thompson  Loop,30.69705,-88.2027,2.100000672,85,86,0,18,41,3
286,Misery Trail,30.78702,-88.09998,1.50000048,145,117,0,18,24,2
287,Miss Baker,34.65903,-86.63446,0.6685608200000001,8,54,0,5,42,1
288,Moonshine,34.38501,-86.20597,0.74242448,271,131,0,10,24,2
289,Moonshine Ridge,34.04228,-86.0327,0.47121227200000004,104,110,0,4,38,1
290,Moonshine Trail,34.77111,-86.55138,0.384659214,14,48,0,4,44,2
291,Motohanger #5,34.81112,-87.69718,0.520075924,37,197,0,9,50,3
292,Mountain Man,34.70982,-86.46678,0.775379036,6,343,0,9,50,3
293,Mountain Mist,34.7257,-86.50212,2.9000009280000003,92,206,0,22,16,3
294,Mr Toads Snake to Fore Play,33.31943,-86.76516,0.334659198,40,33,0,3,6,2
295,Narnia,34.70917,-86.63751,1.1000003520000001,32,43,0,9,22,1
296,Narrow Ridge Side Trail,33.70153,-86.69203,0.429356198,98,87,0,6,59,2
297,Narrows Ridge,33.702,-86.69256,2.5000008,718,713,0,47,53,2
298,Native Azalea Trail,30.7481,-87.91196,0.42878801600000005,27,34,0,3,25,2
299,Natural Well Trail,34.72136,-86.53737,2.5000008,226,655,0,48,46,4
300,Never Never Land Cut Off,34.49467,-85.63658,0.293939488,27,52,0,2,31,1
301,Never Never Land Loop,34.50056,-85.63505,2.700000864,374,374,0,22,27,2
302,New Trail,34.39043,-86.21515,0.9041669560000001,147,128,0,12,19,2
303,NICA,34.80766,-86.59893,1.4000004480000001,139,76,0,12,38,2
304,NORBA Heart Break Hill,32.55102,-85.47214,0.43200771400000004,48,133,0,4,34,3
305,North Lakes Connector Trail,33.35728,-86.70474,2.5000008,289,274,0,17,44,1
306,North Loop,33.21398,-87.45705,1.00000032,80,75,0,8,3,2
307,North Plateau Loop,34.74781,-86.51679,1.8000005760000002,86,83,0,10,20,2
308,Northern Pines,33.18609,-87.02736,1.300000416,304,215,0,13,35,2
309,Nottingham,34.71064,-86.63783,0.480871366,22,31,0,4,14,1
310,Oak Park,34.74782,-86.5501,0.971970008,439,39,0,14,11,2
311,Old Apalachee Trail,30.73288,-87.91344,0.532954716,33,53,0,6,50,1
312,Old River Trail / John Fowler Trail,30.74208,-87.92471,0.61079565,29,22,0,7,30,1
313,Old Skool,32.54806,-85.48824,0.6698865780000001,48,48,0,5,55,2
314,Outlaws Revenge II,34.7161,-86.43443,0.46780318000000004,13,20,0,4,58,2
315,Outside Loop,31.27448,-85.47083,0.815909352,123,74,0,3,36,1
316,Oval Office,33.64114,-85.84911,2.5000008,432,430,0,20,48,2
317,Page Farm,34.81658,-87.30362,3.100000992,271,185,0,24,10,1
318,Pancake Hollow,34.7132,-86.47811,1.1000003520000001,6,500,0,24,19,2
319,Papa Bear,33.61338,-85.90654,1.600000512,281,194,0,15,10,2
320,Parking Connector #6,33.33171,-86.86268,0.278977362,36,53,0,2,50,2
321,Pathkiller,34.03799,-86.03511,0.429356198,166,105,0,5,49,1
322,Patriot,34.69615,-86.65274,2.8000008960000002,193,188,0,16,23,2
323,Peaceful Easy Feeling,33.19651,-86.99385,0.9090912000000001,74,49,0,9,12,1
324,Peak Attack,33.63562,-86.87205,0.333144046,3,11,0,4,41,2
325,Pig Iron Loop,33.24742,-87.06643,3.200001024,524,524,0,18,37,2
326,Pine Torch Trail #222,34.35342,-87.30121,8.900002848,1619,1622,1,28,2,1
327,Piney Loop,34.80933,-86.59041,0.552462298,14,42,0,5,14,1
328,Piney Woods Access,32.41789,-86.22408,0.395454672,2,4,0,1,34,2
329,Piney Woods Loop,32.41399,-86.21953,0.349621324,4,7,0,1,41,2
330,Pleasant Hill Trail,32.47875,-85.61836,3.900001248,432,460,0,32,8,2
331,Power Trip,33.64109,-85.84894,0.475000152,106,126,0,5,54,1
332,Powerline Loop,34.81458,-87.69291,0.44981075000000004,75,77,0,5,42,2
333,Powerline North,34.70943,-86.6444,0.259659174,39,3,0,1,42,2
334,Powerline South,34.7096,-86.65279,0.457954692,8,40,0,2,45,2
335,Project X,32.54518,-85.48799,0.269697056,33,61,0,4,47,3
336,Quarry Road Trail,33.30982,-86.76792,0.9861745580000001,361,13,0,14,8,2
337,Quartz Course,32.62759,-86.25439,2.00000064,224,249,0,16,56,2
338,Radio Gaga,33.64109,-85.84894,0.344318292,6,14,0,3,38,1
339,Railroad Bed Trail,34.74342,-86.54179,1.7000005440000001,116,319,0,17,27,3
340,Ranger,34.59103,-86.52023,0.7655305480000001,292,190,0,39,40,3
341,Ranger Loop,34.80534,-87.69702,0.655871422,162,106,0,8,4,2
342,Rattlesnake Ridge,33.32792,-86.76101,2.3000007360000003,108,127,0,20,57,2
343,Reaper,34.68489,-86.64985,0.509280466,13,10,0,5,25,2
